Name of the College,State,District,Type,Govt/Private,Qualification,Other Degree,Trade/Branch
Indira Gandhi Polytechnic College,Puducherry,Mahe,Co-edu,Govt,Diploma,None,Diploma in Computer Engineering
Indira Gandhi Polytechnic College,Puducherry,Mahe,Co-edu,Govt,Diploma,None,Diploma in Electrical and Electronics Engineering
Indira Gandhi Polytechnic College,Puducherry,Mahe,Co-edu,Govt,Diploma,None,Diploma in Instrumentation and Control Engineering
Indira Gandhi Polytechnic College,Puducherry,Mahe,Co-edu,Govt,Diploma,None,Diploma in Mechanical Engineering
Women's Polytechnic College,Puducherry,Karaikal,Girl's,Govt,Diploma,None,Diploma in Computer Engineering
Women's Polytechnic College,Puducherry,Karaikal,Girl's,Govt,Diploma,None,Diploma in Electrical and Electronics Engineering
Women's Polytechnic College,Puducherry,Karaikal,Girl's,Govt,Diploma,None,Diploma in Instrumentation and Control Engineering
Karaikal Polytechnic College,Puducherry,Karaikal,Co-edu,Govt,Diploma,None,Diploma in Computer Engineering
Karaikal Polytechnic College,Puducherry,Karaikal,Co-edu,Govt,Diploma,None,Diploma in Electrical and Electronics Engineering
Karaikal Polytechnic College,Puducherry,Karaikal,Co-edu,Govt,Diploma,None,Diploma in Mechanical Engineering 
Karaikal Polytechnic College,Puducherry,Karaikal,Co-edu,Govt,Diploma,None,Diploma in Electrical and Electronics Engineering
Karaikal Polytechnic College,Puducherry,Karaikal,Co-edu,Govt,Diploma,None,Diploma in Information Technology 
Dr. B R Ambedkar Polytechnic College,Puducherry,Yanam,Co-edu,Govt,Diploma,None,Diploma in Computer Science and Engineering
Dr. B R Ambedkar Polytechnic College,Puducherry,Yanam,Co-edu,Govt,Diploma,None,Diploma in Electronics and Communication Engineering
Dr. B R Ambedkar Polytechnic College,Puducherry,Yanam,Co-edu,Govt,Diploma,None,Diploma in Civil Engineering
Women's Polytechnic College,Puducherry,Puducherry,Girl's,Govt ,Diploma,None,Diploma in Architectural Assistantship
Sri Manakula Vinayagar Polytechnic College,Puducherry,Puducherry,Co-edu,Private,Diploma,None,Diploma in Mechanical Engineering
Sri Manakula Vinayagar Polytechnic College,Puducherry,Puducherry,Co-edu,Private,Diploma,None,Diploma in Computer Engineering
Sri Manakula Vinayagar Polytechnic College,Puducherry,Puducherry,Co-edu,Private,Diploma,None,Diploma in Electronics and Communication Engineering
Sri Manakula Vinayagar Polytechnic College,Puducherry,Puducherry,Co-edu,Private,Diploma,None,Diploma in Electrical and Electronics Engineering
Hayagriva Polytechnic College,Puducherry,Puducherry,Co-edu,Private,Diploma,None,Diploma in Mechanical Engineering
Hayagriva Polytechnic College,Puducherry,Puducherry,Co-edu,Private,Diploma,None,Diploma in Computer Engineering
Hayagriva Polytechnic College,Puducherry,Puducherry,Co-edu,Private,Diploma,None,Diploma in Electronics and Communication Engineering
Hayagriva Polytechnic College,Puducherry,Puducherry,Co-edu,Private,Diploma,None,Diploma in Electrical and Electronics Engineering
Motilal Nehru Government Polytechnic College,Puducherry,Puducherry,Co-edu,Govt,Diploma,None,Diploma in Mechanical Engineering
Motilal Nehru Government Polytechnic College,Puducherry,Puducherry,Co-edu,Govt,Diploma,None,Diploma in Electronics and Communication Engineering
Motilal Nehru Government Polytechnic College,Puducherry,Puducherry,Co-edu,Govt,Diploma,None,Diploma in Electrical and Electronics Engineering
Achariya College of Engineering Technology,Puducherry,Puducherry,Co-edu,Private,Diploma,None,Diploma in Mechanical Engineering
Achariya College of Engineering Technology,Puducherry,Puducherry,Co-edu,Private,Diploma,None,Diploma in Electronics and Communication Engineering
Pondicherry University Community College ,Puducherry,Puducherry,Co-edu,Govt ,Diploma,None,Diploma in Hardware Management
Pondicherry University Community College ,Puducherry,Puducherry,Co-edu,Govt ,Diploma,None,Diploma in Graphics and Animation
Pondicherry University Community College ,Puducherry,Puducherry,Co-edu,Govt ,Diploma,None,Diploma in Insurance Management
Pondicherry University Community College ,Puducherry,Puducherry,Co-edu,Govt ,Diploma,None,Diploma in Office Management and Secretarial Practice